id,name,neighbourhood,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,availability_365,calculated_host_listings_count
24,Listing 24,Oost,Oost area,Entire home/apt,101.14,14,121,3.82,142,3
25,Listing 25,Slotervaart,Slotervaart area,Private room,43.5,1,208,3.65,97,7
26,Listing 26,Oost,Oost area,Entire home/apt,132.61,1,239,3.59,27,6
27,Listing 27,De Pijp,De Pijp area,Entire home/apt,138.01,2,216,4.19,93,2
28,Listing 28,Watergraafsmeer,Watergraafsmeer area,Private room,70.3,1,50,4.95,25,4
29,Listing 29,Jordaan,Jordaan area,Entire home/apt,120.28,7,30,3.5,84,7
30,Listing 30,Noord,Noord area,Shared room,33.17,7,232,4.54,146,8
31,Listing 31,Jordaan,Jordaan area,Entire home/apt,161.4,3,277,3.59,31,8
32,Listing 32,Bos en Lommer,Bos en Lommer area,Shared room,33.8,1,271,4.94,80,2
33,Listing 33,Jordaan,Jordaan area,Entire home/apt,196.22,2,206,4.37,61,1
34,Listing 34,Slotervaart,Slotervaart area,Entire home/apt,101.48,2,267,3.81,161,6
35,Listing 35,Oud-West,Oud-West area,Entire home/apt,144.6,1,234,3.51,161,2
36,Listing 36,De Pijp,De Pijp area,Entire home/apt,151.11,1,259,4.9,135,2
37,Listing 37,Oud-West,Oud-West area,Entire home/apt,145.75,1,154,4.5,313,5
38,Listing 38,De Pijp,De Pijp area,Shared room,70.7,1,68,4.83,135,3
39,Listing 39,Noord,Noord area,Entire home/apt,99.49,14,135,3.88,258,1
40,Listing 40,De Pijp,De Pijp area,Private room,82.77,1,141,4.0,22,3
41,Listing 41,Noord,Noord area,Entire home/apt,65.79,1,4,4.92,57,3
42,Listing 42,Bos en Lommer,Bos en Lommer area,Entire home/apt,101.18,1,189,4.14,298,1
43,Listing 43,Noord,Noord area,Entire home/apt,143.87,2,20,4.52,183,2
44,Listing 44,Oost,Oost area,Private room,33.15,1,208,4.89,317,4
45,Listing 45,Jordaan,Jordaan area,Hotel room,143.39,3,12,4.67,91,7
46,Listing 46,Oud-West,Oud-West area,Entire home/apt,86.67,1,55,4.79,195,4
47,Listing 47,Oud-West,Oud-West area,Private room,45.96,1,116,4.49,114,7
48,Listing 48,Oost,Oost area,Entire home/apt,114.21,3,35,4.46,142,7
49,Listing 49,Bos en Lommer,Bos en Lommer area,Entire home/apt,130.33,2,133,3.56,91,7
50,Listing 50,Oost,Oost area,Private room,62.07,1,160,4.08,223,4
51,Listing 51,Noord,Noord area,Entire home/apt,72.7,2,275,4.05,351,2
52,Listing 52,Oost,Oost area,Private room,64.47,2,63,4.5,153,6
53,Listing 53,Westerpark,Westerpark area,Private room,40.2,1,194,4.42,346,5
54,Listing 54,Westerpark,Westerpark area,Entire home/apt,100.62,2,0,,155,4
55,Listing 55,Westerpark,Westerpark area,Private room,38.68,2,226,4.27,226,3
56,Listing 56,De Pijp,De Pijp area,Entire home/apt,119.04,2,171,4.51,47,4
57,Listing 57,Oud-West,Oud-West area,Entire home/apt,180.08,7,37,4.83,233,4
58,Listing 58,Westerpark,Westerpark area,Entire home/apt,121.46,1,124,4.84,75,2
59,Listing 59,Westerpark,Westerpark area,Entire home/apt,115.29,2,237,4.88,25,2
60,Listing 60,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,70.91,3,237,4.93,341,8
61,Listing 61,Slotervaart,Slotervaart area,Private room,58.93,1,280,4.62,228,8
62,Listing 62,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,86.76,2,126,4.65,326,8
63,Listing 63,Oud-West,Oud-West area,Entire home/apt,139.5,3,139,4.84,171,2
64,Listing 64,Jordaan,Jordaan area,Entire home/apt,167.68,1,196,4.56,355,2
65,Listing 65,Westerpark,Westerpark area,Entire home/apt,85.0,7,105,4.86,215,1
66,Listing 66,Slotervaart,Slotervaart area,Entire home/apt,79.51,2,3,4.63,180,7
67,Listing 67,Bos en Lommer,Bos en Lommer area,Private room,25,2,112,3.91,249,8
68,Listing 68,Centrum,Centrum area,Entire home/apt,172.23,14,207,4.88,84,1
69,Listing 69,Westerpark,Westerpark area,Private room,48.15,14,219,3.77,69,5
70,Listing 70,Westerpark,Westerpark area,Entire home/apt,97.85,3,232,4.64,167,7
71,Listing 71,Noord,Noord area,Private room,55.01,1,41,4.62,240,1
72,Listing 72,Oost,Oost area,Entire home/apt,96.73,1,35,4.63,333,4
73,Listing 73,Oud-West,Oud-West area,Private room,51.82,1,242,4.35,342,4
74,Listing 74,Watergraafsmeer,Watergraafsmeer area,Private room,39.8,1,188,4.67,85,3
75,Listing 75,Noord,Noord area,Entire home/apt,112.07,2,192,3.61,203,4
76,Listing 76,De Pijp,De Pijp area,Private room,67.78,1,154,4.69,350,1
77,Listing 77,Oost,Oost area,Entire home/apt,106.01,7,174,4.73,6,2
78,Listing 78,Westerpark,Westerpark area,Hotel room,77.58,1,235,4.15,362,5
79,Listing 79,Slotervaart,Slotervaart area,Private room,25,2,223,3.98,303,4
80,Listing 80,De Pijp,De Pijp area,Entire home/apt,124.54,14,230,4.35,124,7
81,Listing 81,Oost,Oost area,Entire home/apt,117.51,2,108,4.01,181,5
82,Listing 82,Bos en Lommer,Bos en Lommer area,Entire home/apt,79.79,2,97,4.58,43,8
83,Listing 83,Bos en Lommer,Bos en Lommer area,Private room,34.49,1,251,3.64,229,4
84,Listing 84,Westerpark,Westerpark area,Private room,25.66,3,156,4.21,339,6
85,Listing 85,Westerpark,Westerpark area,Hotel room,66.3,2,232,3.88,138,2
86,Listing 86,Oud-West,Oud-West area,Entire home/apt,119.2,1,274,3.79,353,8
87,Listing 87,Noord,Noord area,Private room,71.63,2,144,3.94,51,6
88,Listing 88,Jordaan,Jordaan area,Entire home/apt,156.43,2,273,3.57,64,1
89,Listing 89,Bos en Lommer,Bos en Lommer area,Entire home/apt,116.77,1,251,4.36,52,8
90,Listing 90,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,90.19,2,94,4.91,26,8
91,Listing 91,De Pijp,De Pijp area,Private room,58.63,1,27,4.72,77,5
92,Listing 92,De Pijp,De Pijp area,Hotel room,108.58,7,60,4.41,285,4
93,Listing 93,Bos en Lommer,Bos en Lommer area,Entire home/apt,104.1,1,219,4.41,156,2
94,Listing 94,Oud-West,Oud-West area,Private room,53.36,1,135,3.74,338,3
95,Listing 95,Bos en Lommer,Bos en Lommer area,Entire home/apt,111.88,1,240,3.85,149,5
96,Listing 96,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,100.37,2,119,4.14,135,4
97,Listing 97,Jordaan,Jordaan area,Shared room,51.57,2,84,4.16,157,8
98,Listing 98,Noord,Noord area,Private room,40.68,14,139,4.16,256,1
99,Listing 99,Westerpark,Westerpark area,Private room,48.86,1,117,5.0,345,5
100,Listing 100,Slotervaart,Slotervaart area,Entire home/apt,82.22,14,89,4.87,240,3
101,Listing 101,Slotervaart,Slotervaart area,Entire home/apt,105.71,7,240,4.0,178,2
102,Listing 102,Jordaan,Jordaan area,Entire home/apt,111.51,7,253,4.72,147,1
103,Listing 103,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,99.85,1,206,4.49,263,8
104,Listing 104,Westerpark,Westerpark area,Entire home/apt,114.93,14,265,4.44,185,1
105,Listing 105,Oud-West,Oud-West area,Entire home/apt,136.21,1,248,4.96,62,4
106,Listing 106,Jordaan,Jordaan area,Entire home/apt,172.09,7,7,3.64,282,2
107,Listing 107,Watergraafsmeer,Watergraafsmeer area,Shared room,25,2,149,4.12,260,8
108,Listing 108,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,90.74,2,74,4.88,196,3
109,Listing 109,De Pijp,De Pijp area,Entire home/apt,135.15,1,259,3.92,136,5
110,Listing 110,Slotervaart,Slotervaart area,Private room,25,14,250,4.31,76,6
111,Listing 111,Oost,Oost area,Private room,33.77,2,164,4.36,96,4
112,Listing 112,Westerpark,Westerpark area,Entire home/apt,99.06,7,242,4.08,361,3
113,Listing 113,Watergraafsmeer,Watergraafsmeer area,Hotel room,116.39,14,169,3.65,51,8
114,Listing 114,Centrum,Centrum area,Private room,126.96,1,209,3.61,335,5
115,Listing 115,Oost,Oost area,Private room,48.46,7,168,4.93,345,8
116,Listing 116,Bos en Lommer,Bos en Lommer area,Entire home/apt,94.91,2,35,5.0,120,2
117,Listing 117,Westerpark,Westerpark area,Hotel room,86.03,1,51,4.54,227,1
118,Listing 118,Centrum,Centrum area,Entire home/apt,148.86,3,28,4.06,150,3
119,Listing 119,Oud-West,Oud-West area,Entire home/apt,92.53,1,87,4.41,89,7
120,Listing 120,Slotervaart,Slotervaart area,Private room,28.22,1,254,3.85,298,5
121,Listing 121,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,136.08,1,147,3.61,346,6
122,Listing 122,Slotervaart,Slotervaart area,Entire home/apt,87.13,2,217,4.19,353,5
123,Listing 123,Oud-West,Oud-West area,Hotel room,105.74,3,195,4.36,292,5
124,Listing 124,Centrum,Centrum area,Hotel room,136.43,1,202,4.35,140,1
125,Listing 125,Slotervaart,Slotervaart area,Private room,63.98,3,117,3.83,310,4
126,Listing 126,Slotervaart,Slotervaart area,Entire home/apt,47.52,1,70,4.86,321,1
127,Listing 127,Noord,Noord area,Private room,66.14,2,67,3.99,46,7
128,Listing 128,Jordaan,Jordaan area,Entire home/apt,163.97,2,276,4.75,187,5
129,Listing 129,Watergraafsmeer,Watergraafsmeer area,Hotel room,68.69,1,58,3.71,239,4
130,Listing 130,Westerpark,Westerpark area,Hotel room,122.82,7,187,3.52,46,2
131,Listing 131,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,99.9,3,195,3.66,326,4
132,Listing 132,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,84.4,2,167,4.47,312,8
133,Listing 133,Noord,Noord area,Private room,52.03,14,19,3.67,155,4
134,Listing 134,Bos en Lommer,Bos en Lommer area,Entire home/apt,94.08,7,232,4.38,189,3
135,Listing 135,Westerpark,Westerpark area,Private room,66.38,3,143,3.83,16,8
136,Listing 136,Oud-West,Oud-West area,Private room,38.58,3,50,4.32,351,6
137,Listing 137,Centrum,Centrum area,Entire home/apt,183.77,2,232,4.46,46,1
138,Listing 138,Centrum,Centrum area,Private room,99.49,2,124,3.6,64,4
139,Listing 139,Slotervaart,Slotervaart area,Entire home/apt,97.2,1,75,3.92,305,3
140,Listing 140,Jordaan,Jordaan area,Entire home/apt,146.96,1,89,3.7,56,6
141,Listing 141,Oud-West,Oud-West area,Private room,78.13,1,64,4.62,215,8
142,Listing 142,Watergraafsmeer,Watergraafsmeer area,Private room,51.55,1,262,4.18,303,4
143,Listing 143,Slotervaart,Slotervaart area,Entire home/apt,93.33,14,266,4.47,154,1
144,Listing 144,Centrum,Centrum area,Hotel room,104.7,1,205,4.24,218,8
145,Listing 145,De Pijp,De Pijp area,Private room,60.04,3,64,4.07,140,5
146,Listing 146,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,110.19,1,220,4.78,50,4
147,Listing 147,Westerpark,Westerpark area,Entire home/apt,107.45,7,232,4.59,204,6
148,Listing 148,Westerpark,Westerpark area,Entire home/apt,123.03,1,130,4.53,191,8
149,Listing 149,De Pijp,De Pijp area,Entire home/apt,148.28,1,190,4.38,66,6
150,Listing 150,De Pijp,De Pijp area,Entire home/apt,140.87,2,216,4.4,26,6
151,Listing 151,De Pijp,De Pijp area,Private room,71.78,3,114,4.77,55,6
152,Listing 152,De Pijp,De Pijp area,Private room,93.45,1,115,4.41,219,5
153,Listing 153,Centrum,Centrum area,Entire home/apt,174.96,1,173,3.77,179,3
154,Listing 154,Slotervaart,Slotervaart area,Private room,26.06,1,35,3.64,72,4
155,Listing 155,Westerpark,Westerpark area,Entire home/apt,94.61,1,166,4.83,290,3
156,Listing 156,Jordaan,Jordaan area,Private room,96.18,1,25,3.91,345,7
157,Listing 157,Watergraafsmeer,Watergraafsmeer area,Private room,38.04,3,262,4.14,58,5
158,Listing 158,Slotervaart,Slotervaart area,Entire home/apt,92.16,2,157,4.09,23,1
159,Listing 159,Centrum,Centrum area,Entire home/apt,212.16,3,130,3.68,148,8
160,Listing 160,Westerpark,Westerpark area,Entire home/apt,93.5,2,194,4.25,272,6
161,Listing 161,De Pijp,De Pijp area,Entire home/apt,128.93,3,235,4.36,39,7
162,Listing 162,Westerpark,Westerpark area,Entire home/apt,83.61,3,207,3.76,10,8
163,Listing 163,Oost,Oost area,Entire home/apt,118.35,1,205,4.09,268,5
164,Listing 164,Oost,Oost area,Entire home/apt,97.62,1,86,4.3,39,4
165,Listing 165,Oost,Oost area,Entire home/apt,137.81,1,75,3.72,120,4
166,Listing 166,Jordaan,Jordaan area,Private room,72.53,14,38,4.2,90,8
167,Listing 167,Slotervaart,Slotervaart area,Private room,60.11,14,161,3.6,77,8
168,Listing 168,Noord,Noord area,Private room,46.01,1,28,3.97,180,8
169,Listing 169,Centrum,Centrum area,Entire home/apt,183.92,7,46,4.19,314,1
170,Listing 170,Watergraafsmeer,Watergraafsmeer area,Shared room,25,14,96,4.25,164,1
171,Listing 171,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,114.78,1,43,3.56,258,8
172,Listing 172,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,89.13,3,81,4.88,186,7
173,Listing 173,Westerpark,Westerpark area,Private room,49.67,3,171,3.64,33,7
174,Listing 174,Noord,Noord area,Entire home/apt,89.08,1,76,4.37,170,3
175,Listing 175,Oost,Oost area,Entire home/apt,93.6,1,66,3.96,304,7
176,Listing 176,Oost,Oost area,Private room,30.52,7,269,4.26,47,1
177,Listing 177,Oost,Oost area,Entire home/apt,127.44,2,248,5.0,98,3
178,Listing 178,De Pijp,De Pijp area,Entire home/apt,124.48,1,51,4.49,259,3
179,Listing 179,Slotervaart,Slotervaart area,Entire home/apt,104.77,1,84,4.12,224,4
180,Listing 180,Watergraafsmeer,Watergraafsmeer area,Private room,82.14,2,229,3.96,119,8
181,Listing 181,Oud-West,Oud-West area,Entire home/apt,179.55,7,236,4.25,144,7
182,Listing 182,Jordaan,Jordaan area,Private room,61.18,1,70,4.46,128,6
183,Listing 183,Bos en Lommer,Bos en Lommer area,Shared room,25,1,63,4.64,145,5
184,Listing 184,Watergraafsmeer,Watergraafsmeer area,Shared room,25,1,75,4.92,223,4
185,Listing 185,Watergraafsmeer,Watergraafsmeer area,Private room,68.76,3,202,3.85,257,2
186,Listing 186,Oost,Oost area,Entire home/apt,101.24,3,163,4.69,50,3
187,Listing 187,Centrum,Centrum area,Entire home/apt,194.83,14,71,4.17,361,1
188,Listing 188,De Pijp,De Pijp area,Entire home/apt,102.93,7,110,3.67,76,5
189,Listing 189,Oud-West,Oud-West area,Entire home/apt,144.94,1,234,4.76,32,8
190,Listing 190,Slotervaart,Slotervaart area,Entire home/apt,91.17,2,263,4.58,294,5
191,Listing 191,Westerpark,Westerpark area,Entire home/apt,89.34,1,95,4.29,340,6
192,Listing 192,De Pijp,De Pijp area,Hotel room,124.77,1,278,4.09,259,8
193,Listing 193,Centrum,Centrum area,Private room,105.19,1,8,4.02,182,2
194,Listing 194,Slotervaart,Slotervaart area,Private room,40.68,1,170,4.03,68,6
195,Listing 195,Jordaan,Jordaan area,Private room,57.56,1,245,4.72,323,2
196,Listing 196,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,48.43,2,103,4.83,22,6
197,Listing 197,Noord,Noord area,Entire home/apt,119.97,2,129,3.93,18,1
198,Listing 198,Oost,Oost area,Entire home/apt,108.29,7,188,4.61,223,7
199,Listing 199,Oost,Oost area,Hotel room,64.54,1,265,4.59,136,2
200,Listing 200,Westerpark,Westerpark area,Private room,53.06,2,92,3.98,279,2
201,Listing 201,Oost,Oost area,Private room,45.56,14,218,4.03,85,1
202,Listing 202,Oost,Oost area,Private room,80.48,1,222,3.61,140,7
203,Listing 203,Oost,Oost area,Entire home/apt,109.99,14,15,3.55,73,2
204,Listing 204,Oud-West,Oud-West area,Private room,50.69,7,187,4.92,185,1
205,Listing 205,Slotervaart,Slotervaart area,Entire home/apt,66.69,1,227,4.29,39,7
206,Listing 206,Oost,Oost area,Private room,60.96,1,127,4.6,58,8
207,Listing 207,Bos en Lommer,Bos en Lommer area,Entire home/apt,75.57,14,133,3.82,360,5
208,Listing 208,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,94.11,14,69,3.76,37,8
209,Listing 209,De Pijp,De Pijp area,Private room,122.51,1,177,4.32,363,5
210,Listing 210,Noord,Noord area,Private room,35.61,2,89,3.68,185,4
211,Listing 211,Jordaan,Jordaan area,Entire home/apt,141.09,1,188,4.42,239,2
212,Listing 212,De Pijp,De Pijp area,Entire home/apt,130.71,7,245,4.65,269,2
213,Listing 213,Jordaan,Jordaan area,Hotel room,114.31,1,264,4.82,176,3
214,Listing 214,Jordaan,Jordaan area,Entire home/apt,142.95,1,28,3.96,63,3
215,Listing 215,Oost,Oost area,Shared room,40.45,1,265,3.88,145,5
216,Listing 216,Jordaan,Jordaan area,Private room,127.98,1,273,4.39,47,3
217,Listing 217,Jordaan,Jordaan area,Private room,75.0,1,21,3.57,14,5
218,Listing 218,Oud-West,Oud-West area,Private room,35.7,1,213,4.25,316,5
219,Listing 219,Noord,Noord area,Entire home/apt,105.24,1,152,4.53,232,3
220,Listing 220,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,71.38,3,237,4.41,104,6
221,Listing 221,Oost,Oost area,Private room,89.9,1,66,3.98,189,8
222,Listing 222,De Pijp,De Pijp area,Entire home/apt,88.23,1,126,3.58,72,7
223,Listing 223,Slotervaart,Slotervaart area,Entire home/apt,126.96,3,167,3.78,295,3
224,Listing 224,Watergraafsmeer,Watergraafsmeer area,Hotel room,69.98,2,239,4.25,255,2
225,Listing 225,Westerpark,Westerpark area,Entire home/apt,118.62,1,180,3.92,24,8
226,Listing 226,Noord,Noord area,Entire home/apt,92.11,1,55,4.82,220,6
227,Listing 227,Westerpark,Westerpark area,Entire home/apt,83.91,2,99,3.61,185,8
228,Listing 228,Bos en Lommer,Bos en Lommer area,Entire home/apt,105.2,1,60,4.09,65,6
229,Listing 229,Bos en Lommer,Bos en Lommer area,Shared room,27.42,1,260,3.57,205,3
230,Listing 230,Oost,Oost area,Private room,41.68,1,265,4.41,233,3
231,Listing 231,Oost,Oost area,Shared room,25,3,153,4.26,303,8
232,Listing 232,Slotervaart,Slotervaart area,Entire home/apt,103.16,3,8,4.51,188,7
233,Listing 233,Slotervaart,Slotervaart area,Entire home/apt,117.63,14,13,3.9,305,4
234,Listing 234,Centrum,Centrum area,Private room,65.91,7,87,3.72,268,4
235,Listing 235,Centrum,Centrum area,Private room,86.02,7,225,3.73,160,4
236,Listing 236,Westerpark,Westerpark area,Entire home/apt,92.61,1,241,4.28,31,6
237,Listing 237,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,95.19,3,272,4.51,175,5
238,Listing 238,Slotervaart,Slotervaart area,Entire home/apt,96.36,2,126,3.84,142,5
239,Listing 239,Noord,Noord area,Private room,39.0,2,245,3.93,178,7
240,Listing 240,Westerpark,Westerpark area,Private room,30.94,1,74,3.93,148,2
241,Listing 241,Oost,Oost area,Shared room,25,2,109,4.9,103,5
242,Listing 242,Jordaan,Jordaan area,Entire home/apt,132.45,1,122,4.5,124,4
243,Listing 243,Oud-West,Oud-West area,Entire home/apt,97.81,1,51,3.51,348,3
244,Listing 244,Westerpark,Westerpark area,Private room,68.98,2,243,4.63,244,5
245,Listing 245,Oost,Oost area,Entire home/apt,141.89,1,118,4.87,273,3
246,Listing 246,Westerpark,Westerpark area,Private room,64.93,7,90,4.68,18,3
247,Listing 247,Noord,Noord area,Private room,73.37,2,54,4.18,171,8
248,Listing 248,Jordaan,Jordaan area,Private room,81.51,2,239,4.71,139,6
249,Listing 249,Jordaan,Jordaan area,Private room,61.0,2,7,4.35,172,4
250,Listing 250,Jordaan,Jordaan area,Private room,54.44,3,207,3.63,218,2
251,Listing 251,Jordaan,Jordaan area,Hotel room,81.6,7,3,3.85,133,5
252,Listing 252,Oost,Oost area,Entire home/apt,116.62,3,5,4.54,133,1
253,Listing 253,De Pijp,De Pijp area,Entire home/apt,146.36,1,159,4.46,353,5
254,Listing 254,Oost,Oost area,Private room,80.68,14,112,3.73,68,6
255,Listing 255,Westerpark,Westerpark area,Private room,81.23,1,111,4.29,126,6
256,Listing 256,De Pijp,De Pijp area,Shared room,25,2,57,4.36,31,3
257,Listing 257,Jordaan,Jordaan area,Entire home/apt,150.14,14,105,3.64,298,8
258,Listing 258,Centrum,Centrum area,Entire home/apt,178.73,14,262,4.35,212,8
259,Listing 259,Noord,Noord area,Private room,25,1,111,3.57,296,6
260,Listing 260,De Pijp,De Pijp area,Entire home/apt,152.4,14,30,3.55,35,7
261,Listing 261,Jordaan,Jordaan area,Private room,85.5,7,215,4.17,191,7
262,Listing 262,Westerpark,Westerpark area,Entire home/apt,49.91,3,276,3.68,68,7
263,Listing 263,Bos en Lommer,Bos en Lommer area,Entire home/apt,127.62,14,11,4.51,152,7
264,Listing 264,Bos en Lommer,Bos en Lommer area,Entire home/apt,84.94,14,117,4.02,126,5
265,Listing 265,Oud-West,Oud-West area,Shared room,35.97,1,214,3.86,314,2
266,Listing 266,De Pijp,De Pijp area,Private room,55.33,1,228,3.87,306,1
267,Listing 267,Westerpark,Westerpark area,Entire home/apt,72.53,2,28,3.85,71,6
268,Listing 268,Slotervaart,Slotervaart area,Private room,34.21,2,164,4.81,121,4
269,Listing 269,Westerpark,Westerpark area,Entire home/apt,150.19,7,89,4.33,320,1
270,Listing 270,Oost,Oost area,Shared room,51.21,3,195,4.54,268,7
271,Listing 271,Jordaan,Jordaan area,Entire home/apt,170.03,2,123,4.79,115,3
272,Listing 272,Watergraafsmeer,Watergraafsmeer area,Shared room,52.74,1,211,4.08,213,5
273,Listing 273,Oud-West,Oud-West area,Entire home/apt,144.22,2,189,3.58,47,7
274,Listing 274,Slotervaart,Slotervaart area,Private room,52.92,2,37,4.22,96,6
275,Listing 275,Noord,Noord area,Hotel room,122.83,2,60,4.54,245,4
276,Listing 276,Westerpark,Westerpark area,Shared room,36.03,7,164,4.2,144,6
277,Listing 277,Noord,Noord area,Entire home/apt,71.62,3,50,4.87,240,6
278,Listing 278,Oost,Oost area,Entire home/apt,108.11,1,113,3.89,74,7
279,Listing 279,Noord,Noord area,Entire home/apt,85.6,3,125,3.89,255,8
280,Listing 280,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,117.14,1,180,4.58,86,8
281,Listing 281,Jordaan,Jordaan area,Shared room,25,1,30,4.76,268,2
282,Listing 282,Centrum,Centrum area,Private room,82.5,2,211,3.6,70,3
283,Listing 283,Centrum,Centrum area,Entire home/apt,173.21,14,247,3.52,337,7
284,Listing 284,Centrum,Centrum area,Entire home/apt,181.93,2,140,3.53,274,7
285,Listing 285,Jordaan,Jordaan area,Entire home/apt,169.34,2,98,4.72,317,5
286,Listing 286,Westerpark,Westerpark area,Entire home/apt,111.46,2,207,4.99,235,4
287,Listing 287,Noord,Noord area,Private room,64.3,7,16,4.07,47,8
288,Listing 288,Centrum,Centrum area,Private room,66.21,14,87,4.77,42,6
289,Listing 289,Slotervaart,Slotervaart area,Hotel room,109.87,2,21,4.85,117,8
290,Listing 290,Noord,Noord area,Entire home/apt,88.05,2,38,4.85,350,1
291,Listing 291,Jordaan,Jordaan area,Shared room,27.88,7,73,4.89,364,5
292,Listing 292,Jordaan,Jordaan area,Private room,126.91,3,199,4.08,346,3
293,Listing 293,De Pijp,De Pijp area,Entire home/apt,136.56,1,223,4.01,118,7
294,Listing 294,Oost,Oost area,Entire home/apt,108.93,14,139,3.84,230,7
295,Listing 295,Westerpark,Westerpark area,Entire home/apt,88.22,1,151,3.62,126,3
296,Listing 296,Westerpark,Westerpark area,Private room,42.45,3,78,4.04,199,2
297,Listing 297,Centrum,Centrum area,Shared room,25,1,52,3.78,67,8
298,Listing 298,Bos en Lommer,Bos en Lommer area,Private room,56.52,1,208,3.63,52,2
299,Listing 299,Slotervaart,Slotervaart area,Private room,33.61,7,149,4.67,211,4
300,Listing 300,Slotervaart,Slotervaart area,Entire home/apt,102.61,1,194,3.9,86,5
301,Listing 301,Watergraafsmeer,Watergraafsmeer area,Entire home/apt,107.99,1,153,4.04,247,4
302,Listing 302,Watergraafsmeer,Watergraafsmeer area,Private room,63.95,1,100,3.7,234,1
303,Listing 303,Westerpark,Westerpark area,Entire home/apt,78.71,3,168,4.15,225,3
304,Listing 304,Noord,Noord area,Entire home/apt,70.25,3,102,3.77,245,7
305,Listing 305,Oost,Oost area,Entire home/apt,102.12,7,124,3.92,166,7
306,Listing 306,Oost,Oost area,Entire home/apt,88.13,1,102,4.52,303,1
307,Listing 307,Watergraafsmeer,Watergraafsmeer area,Shared room,38.97,14,35,3.71,209,5
308,Listing 308,Oud-West,Oud-West area,Entire home/apt,159.61,7,78,3.61,216,8
309,Listing 309,Slotervaart,Slotervaart area,Entire home/apt,40.04,1,214,4.69,278,6
310,Listing 310,Bos en Lommer,Bos en Lommer area,Private room,43.13,2,43,4.49,55,6
311,Listing 311,Jordaan,Jordaan area,Private room,135.14,7,204,3.66,169,2
312,Listing 312,Noord,Noord area,Entire home/apt,110.76,2,265,4.17,285,7
313,Listing 313,Watergraafsmeer,Watergraafsmeer area,Private room,29.99,14,176,3.66,12,7
314,Listing 314,De Pijp,De Pijp area,Entire home/apt,117.55,2,72,4.01,178,4
315,Listing 315,Bos en Lommer,Bos en Lommer area,Entire home/apt,68.76,1,231,3.95,163,2
316,Listing 316,Centrum,Centrum area,Private room,93.2,1,55,4.89,346,4
